id,region_id,area_id,city_id,street_id,shortname_region,formalname_region,shortname_area,formalname_area,shortname_city,formalname_city,shortname_street,formalname_street,house_number,building,block,letter,address,houseguid,management_organization_id,built_year,exploitation_start_year,project_type,house_type,is_alarm,method_of_forming_overhaul_fund,floor_count_max,floor_count_min,entrance_count,elevators_count,energy_efficiency,quarters_count,living_quarters_count,unliving_quarters_count,area_total,area_residential,area_non_residential,area_common_property,area_land,parking_square,playground,sportsground,other_beautification,foundation_type,floor_type,wall_material,basement_area,chute_type,chute_count,electrical_type,electrical_entries_count,heating_type,hot_water_type,cold_water_type,sewerage_type,sewerage_cesspools_volume,gas_type,ventilation_type,firefighting_type,drainage_type,lon,lat
9319016,d028ec4f-f6da-4843-ada6-b68b3e0efa3d,,b2601b18-6da2-4789-9fbe-800dde06a2bb,,обл,Тульская,,,г,Тула,,,191 км,,,,"обл. Тульская, г. Тула, д. 191 км",fd7b7388-9e90-d71f-b259-514f5f53080d,,1936.0,1936.0,нет,Многоквартирный дом,Нет,На счете регионального оператора,1.0,1.0,1.0,0.0,Не присвоен,4,4.0,0.0,"107,00","107,00","0,00","0,00","4909,00","0,00",500,500,нет,Бетонные столбы,Деревянные,Деревянные,"0,00",Отсутствует,0.0,Центральное,1.0,Печное,Отсутствует,Отсутствует,Отсутствует,"0,00",Отсутствует,Отсутствует,Отсутствует,Наружные водостоки,37.57973,54.22973
8919269,d028ec4f-f6da-4843-ada6-b68b3e0efa3d,,b2601b18-6da2-4789-9fbe-800dde06a2bb,b1ef2d5a-f14b-4bfc-8a5c-8d490dc9bc4d,обл,Тульская,,,г,Тула,проезд,10-й Мясново,71,А,,,"обл. Тульская, г. Тула, проезд. 10-й Мясново, д. 71, стр. А",db34e935-363f-fd3d-13f6-dd07831a9939,7973535.0,,1950.0,отсутствует информация в технической документации,Не заполнено,Нет,Не заполнено,1.0,,1.0,,Не заполнено,4,,,"126,00","126,00","0,00",,"1477,00",,498,498,,Не заполнено,Деревянные,Деревянные,,Не заполнено,,Не заполнено,,Центральное,Квартирное (квартирный котел),Центральное,Центральное,,Не заполнено,Не заполнено,Не заполнено,Не заполнено,37.55374,54.19412
7979863,d028ec4f-f6da-4843-ada6-b68b3e0efa3d,,b2601b18-6da2-4789-9fbe-800dde06a2bb,1d1fa46d-e53a-45e5-80df-1cfbc941d9f6,обл,Тульская,,,г,Тула,проезд,18-й Мясново,83,,,,"обл. Тульская, г. Тула, проезд. 18-й Мясново, д. 83",c442dcc9-3108-4b16-82ef-2da41c371d0a,,1990.0,1990.0,"II-49, панельный",Многоквартирный дом,Нет,На счете регионального оператора,9.0,9.0,2.0,2.0,Не присвоен,74,72.0,2.0,"5114,80","4193,40","16,80","667,00","1304,00","0,00",499,499,Нет,Сборный,Железобетонные,Панельные,"466,04",На лестничной клетке,2.0,Центральное,1.0,Центральное,Закрытая с приготовлением горячей воды на ЦТП,Центральное,Центральное,"0,00",Центральное,Приточно-вытяжная вентиляция,Отсутствует,Внутренние водостоки,37.53671,54.19968
9065705,d028ec4f-f6da-4843-ada6-b68b3e0efa3d,,b2601b18-6da2-4789-9fbe-800dde06a2bb,1d1fa46d-e53a-45e5-80df-1cfbc941d9f6,обл,Тульская,,,г,Тула,проезд,18-й Мясново,83(83),,,,"обл. Тульская, г. Тула, проезд. 18-й Мясново, д. 83(83)",8e4d00b9-7888-b80b-8c72-39909d432884,8917620.0,,,,Не заполнено,Нет,Не заполнено,,,2.0,2.0,Не заполнено,0,,,"4211,20","72,00",,,,,498,498,,Не заполнено,Не заполнено,Не заполнено,,Не заполнено,,Не заполнено,,Не заполнено,Не заполнено,Не заполнено,Не заполнено,,Не заполнено,Не заполнено,Не заполнено,Не заполнено,37.53671,54.19968
6503811,d028ec4f-f6da-4843-ada6-b68b3e0efa3d,,b2601b18-6da2-4789-9fbe-800dde06a2bb,1d1fa46d-e53a-45e5-80df-1cfbc941d9f6,обл,Тульская,,,г,Тула,проезд,18-й Мясново,83а,,,,"обл. Тульская, г. Тула, проезд. 18-й Мясново, д. 83а",162b08ea-d388-a7f0-a8dd-f9f400a9ac96,8929437.0,1992.0,1992.0,"II-49, панельный",Многоквартирный дом,Нет,На специальном счете у регионального оператора,9.0,9.0,2.0,2.0,Не присвоен,72,72.0,0.0,"5209,40","4262,30","0,00","654,90","5651,00","0,00",499,499,Коврочистка,Сборный,Железобетонные,Панельные,"473,78",На лестничной клетке,2.0,Центральное,1.0,Центральное,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,Центральное,Центральное,"0,00",Центральное,Приточно-вытяжная вентиляция,Отсутствует,Внутренние водостоки,37.5369,54.19984
7979870,d028ec4f-f6da-4843-ada6-b68b3e0efa3d,,b2601b18-6da2-4789-9fbe-800dde06a2bb,1d1fa46d-e53a-45e5-80df-1cfbc941d9f6,обл,Тульская,,,г,Тула,проезд,18-й Мясново,85,,,,"обл. Тульская, г. Тула, проезд. 18-й Мясново, д. 85",56b05e40-6c22-4355-9152-12194272752a,8929437.0,1990.0,1990.0,"II-49, панельный",Многоквартирный дом,Нет,На счете регионального оператора,9.0,9.0,4.0,4.0,Не присвоен,183,179.0,4.0,"11118,00","8401,60","41,80","1380,80","4989,00","0,00",499,499,Нет,Сборный,Железобетонные,Панельные,"932,04",На лестничной клетке,4.0,Центральное,2.0,Центральное,Закрытая с приготовлением горячей воды на ЦТП,Центральное,Центральное,"0,00",Центральное,Приточно-вытяжная вентиляция,Отсутствует,Внутренние водостоки,37.53671,54.19968
8446319,d028ec4f-f6da-4843-ada6-b68b3e0efa3d,,b2601b18-6da2-4789-9fbe-800dde06a2bb,1d1fa46d-e53a-45e5-80df-1cfbc941d9f6,обл,Тульская,,,г,Тула,проезд,18-й Мясново,87,,,,"обл. Тульская, г. Тула, проезд. 18-й Мясново, д. 87",f51dc4fa-49c4-4850-b59c-f6bfec9640ec,8929181.0,1985.0,1985.0,II-49,Многоквартирный дом,Нет,На счете регионального оператора,9.0,9.0,2.0,2.0,Не присвоен,72,72.0,0.0,"5114,40","4204,90","0,00","653,00","2606,00","0,00",499,499,"Лавочки, урны, коврочистка",Свайный,Железобетонные,Панельные,"466,00",На лестничной клетке,2.0,Центральное,1.0,Центральное,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,Центральное,Центральное,"0,00",Центральное,Приточно-вытяжная вентиляция,Отсутствует,Внутренние водостоки,37.5362,54.19873
7979873,d028ec4f-f6da-4843-ada6-b68b3e0efa3d,,b2601b18-6da2-4789-9fbe-800dde06a2bb,1d1fa46d-e53a-45e5-80df-1cfbc941d9f6,обл,Тульская,,,г,Тула,проезд,18-й Мясново,89,,,,"обл. Тульская, г. Тула, проезд. 18-й Мясново, д. 89",ff820d5e-3349-43df-9593-9fde541fcd38,8938215.0,1987.0,1987.0,индивидуальный проект,Многоквартирный дом,Нет,На счете регионального оператора,9.0,9.0,1.0,1.0,Не присвоен,19,18.0,1.0,"7154,60","4893,50","244,80","1216,50","9975,00","0,00",500,500,нет,Бетонные столбы,Железобетонные,Кирпич,"864,30",На лестничной клетке,1.0,Центральное,1.0,Центральное,Закрытая с приготовлением горячей воды на ЦТП,Центральное,Центральное,"0,00",Центральное,Вытяжная вентиляция,Отсутствует,Внутренние водостоки,37.53531,54.19856
7979875,d028ec4f-f6da-4843-ada6-b68b3e0efa3d,,b2601b18-6da2-4789-9fbe-800dde06a2bb,1d1fa46d-e53a-45e5-80df-1cfbc941d9f6,обл,Тульская,,,г,Тула,проезд,18-й Мясново,91,,,,"обл. Тульская, г. Тула, проезд. 18-й Мясново, д. 91",624a50c4-7ef1-455b-9cd5-d8efbb8b6e43,8626680.0,1969.0,1969.0,в техническом паспорте нет данных,Многоквартирный дом,Нет,На счете регионального оператора,5.0,1.0,4.0,0.0,Не присвоен,70,70.0,0.0,"3300,20","3300,20","0,00","274,30","5141,00","0,00",500,500,,Сборный,Железобетонные,Панельные,"659,82",Отсутствует,0.0,Центральное,1.0,Центральное,Отсутствует,Центральное,Центральное,,Центральное,Вытяжная вентиляция,Отсутствует,Наружные водостоки,37.53403,54.19863
7979881,d028ec4f-f6da-4843-ada6-b68b3e0efa3d,,b2601b18-6da2-4789-9fbe-800dde06a2bb,1d1fa46d-e53a-45e5-80df-1cfbc941d9f6,обл,Тульская,,,г,Тула,проезд,18-й Мясново,98,,,,"обл. Тульская, г. Тула, проезд. 18-й Мясново, д. 98",4c3bdea7-ddf5-48e1-bea3-28dc64c4bae3,8938215.0,1978.0,1978.0,II-67,Многоквартирный дом,Нет,На счете регионального оператора,9.0,9.0,2.0,2.0,Не присвоен,26,26.0,0.0,"6977,80","5088,50","1164,40","724,90","5587,00","0,00",500,500,,Сборный,Железобетонные,Кирпич,"1152,10",Квартирные,2.0,Центральное,1.0,Центральное,Закрытая с приготовлением горячей воды на ЦТП,Центральное,Центральное,"0,00",Центральное,Приточная вентиляция,Отсутствует,Внутренние водостоки,37.53246,54.19902
